EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-9660.908,-9817.272,-2274.077,-3984.234,-5129.264,-8468.199,-11723.602,-12743.145,0.030,0.952,0.454,-2.319,-0.031,-0.732,73.333,338.000,1.000
-6488.842,-7238.644,-2133.218,-3844.748,-4990.500,-8305.535,-11404.185,-11036.871,0.025,0.952,0.454,-2.319,-0.031,-0.763,73.333,339.000,1.000
-5271.189,-6355.238,-2045.374,-3756.789,-4902.447,-8192.361,-11134.795,-10079.282,0.024,0.952,0.456,-2.502,-0.122,-0.854,73.333,340.000,1.000
-6727.629,-7650.522,-1975.964,-3686.268,-4830.352,-8093.954,-10881.205,-10026.118,0.023,0.950,0.456,-2.594,-0.366,-0.854,73.333,341.000,1.000
-7885.463,-8597.796,-1864.865,-3573.535,-4715.187,-7950.811,-10584.374,-9792.071,0.021,0.950,0.457,-2.655,-0.427,-0.854,73.333,342.000,1.000
-6196.276,-7155.745,-1710.124,-3415.970,-4555.481,-7761.227,-10242.229,-8555.654,0.022,0.947,0.456,-2.686,-0.702,-0.885,73.333,343.000,1.000
-3060.344,-4592.223,-1571.299,-3272.511,-4409.945,-7584.215,-9913.584,-6894.458,0.021,0.945,0.456,-2.686,-0.763,-0.824,73.333,344.000,1.000
-1889.976,-3731.830,-1487.386,-3182.832,-4316.961,-7458.474,-9637.977,-5985.912,0.021,0.945,0.456,-2.563,-0.946,-0.793,73.333,345.000,1.000
-3402.182,-5060.839,-1424.503,-3114.020,-4243.283,-7350.825,-9382.716,-5987.595,0.023,0.944,0.459,-2.563,-1.312,-0.702,73.333,346.000,1.000
-4636.182,-6063.099,-1323.605,-3006.718,-4130.650,-7203.086,-9088.656,-5823.214,0.024,0.945,0.455,-2.502,-1.343,-0.519,73.333,347.000,1.000
-3037.124,-4687.574,-1180.018,-2855.271,-3974.128,-7010.360,-8750.266,-4660.962,0.028,0.948,0.454,-2.441,-1.434,-0.427,73.333,348.000,1.000
33.997,-2167.529,-1049.007,-2715.069,-3828.338,-6827.060,-8423.052,-3057.124,0.030,0.949,0.455,-2.411,-1.434,-0.336,73.333,349.000,1.000
1179.976,-1319.414,-970.700,-2627.095,-3733.528,-6693.292,-8148.062,-2191.495,0.034,0.946,0.455,-2.502,-1.617,-0.061,73.333,350.000,1.000
-356.215,-2665.137,-914.235,-2560.362,-3659.348,-6578.972,-7894.331,-2242.185,0.034,0.945,0.458,-2.533,-1.587,-0.031,73.333,351.000,1.000
-1649.520,-3713.067,-819.314,-2453.902,-3545.432,-6424.229,-7600.900,-2139.311,0.035,0.946,0.459,-2.533,-1.465,0.275,73.333,352.000,1.000
-122.450,-2389.912,-679.325,-2301.443,-3384.849,-6222.251,-7261.647,-1038.674,0.034,0.944,0.459,-2.441,-1.373,0.366,73.333,353.000,1.000
2901.017,99.804,-550.155,-2159.630,-3233.731,-6028.702,-6933.612,514.291,0.034,0.942,0.458,-2.411,-1.343,0.275,73.333,354.000,1.000
4010.005,928.352,-474.073,-2070.423,-3134.774,-5885.929,-6659.038,1333.043,0.034,0.944,0.457,-2.258,-1.251,0.366,73.333,355.000,1.000
2417.324,-450.403,-422.537,-2004.504,-3059.311,-5765.599,-6408.397,1225.696,0.033,0.946,0.458,-2.167,-1.129,0.397,73.333,356.000,1.000
1061.326,-1537.765,-335.384,-1901.868,-2946.786,-5607.569,-6121.376,1263.701,0.033,0.945,0.458,-2.167,-1.068,0.397,73.333,357.000,1.000
2540.028,-247.075,-205.075,-1755.663,-2789.757,-5404.282,-5791.516,2299.579,0.034,0.948,0.458,-2.136,-0.854,0.488,73.333,358.000,1.000
5517.389,2209.807,-86.914,-1621.207,-2643.993,-5211.340,-5474.927,3787.360,0.035,0.945,0.456,-2.106,-0.824,0.427,73.333,359.000,1.000
6578.323,3007.024,-19.657,-1536.778,-2548.253,-5067.740,-5209.828,4545.105,0.036,0.945,0.457,-2.045,-0.732,0.366,73.333,360.000,1.000
4947.516,1609.065,28.193,-1470.850,-2470.603,-4941.688,-4963.952,4388.258,0.036,0.946,0.458,-1.984,-0.641,0.397,73.333,361.000,1.000
3550.055,499.590,112.829,-1367.749,-2354.910,-4776.853,-4681.548,4376.310,0.033,0.945,0.459,-1.984,-0.610,0.275,73.333,362.000,1.000
4967.536,1749.360,237.802,-1224.213,-2198.265,-4570.335,-4360.020,5349.037,0.032,0.946,0.459,-1.862,-0.549,0.183,73.333,363.000,1.000
7884.904,4164.352,350.176,-1092.766,-2053.788,-4375.612,-4052.327,6771.147,0.033,0.944,0.460,-1.801,-0.458,0.122,73.333,364.000,1.000
8907.390,4934.438,412.349,-1010.564,-1958.500,-4229.805,-3795.508,7469.155,0.032,0.944,0.459,-1.770,-0.427,-0.122,73.333,365.000,1.000
7237.057,3505.974,453.183,-949.059,-1883.124,-4103.447,-3560.838,7247.569,0.031,0.941,0.458,-1.709,-0.397,-0.153,73.333,366.000,1.000
5771.175,2345.006,529.454,-851.955,-1771.259,-3940.153,-3292.200,7161.455,0.030,0.942,0.461,-1.617,-0.305,-0.153,73.333,367.000,1.000
7108.189,3538.071,646.685,-713.495,-1618.031,-3735.135,-2984.088,8060.937,0.028,0.945,0.458,-1.617,-0.397,-0.183,73.333,368.000,1.000
9967.453,5914.064,749.766,-588.430,-1478.603,-3543.518,-2691.163,9414.353,0.029,0.948,0.459,-1.678,-0.366,-0.275,73.333,369.000,1.000
10945.436,6652.460,799.323,-516.377,-1391.828,-3404.186,-2452.870,10040.082,0.030,0.952,0.458,-1.831,-0.580,-0.336,73.333,370.000,1.000
9209.107,5173.713,827.183,-465.805,-1325.743,-3285.186,-2237.899,9738.101,0.031,0.959,0.460,-1.892,-0.549,-0.427,73.333,371.000,1.000
7660.351,3949.580,893.388,-376.498,-1220.752,-3126.910,-1986.412,9570.136,0.031,0.958,0.461,-2.045,-0.519,-0.488,73.333,372.000,1.000
8926.167,5088.303,1002.369,-243.819,-1072.627,-2925.346,-1693.814,10391.452,0.034,0.958,0.461,-2.136,-0.458,-0.336,73.333,373.000,1.000
11717.671,7411.171,1095.198,-126.938,-940.125,-2739.478,-1419.124,11662.539,0.039,0.953,0.462,-2.380,-0.458,-0.122,73.333,374.000,1.000
12612.003,8083.601,1132.289,-65.878,-862.856,-2608.840,-1202.310,12198.918,0.039,0.942,0.459,-2.563,-0.336,0.061,73.333,375.000,1.000
10793.059,6540.967,1149.711,-24.522,-804.826,-2497.256,-1007.249,11814.968,0.041,0.933,0.457,-2.441,-0.214,0.366,73.333,376.000,1.000
9181.050,5268.468,1208.559,58.816,-704.736,-2343.449,-772.389,11578.421,0.039,0.929,0.458,-2.167,0.122,0.549,73.333,377.000,1.000
10392.400,6365.590,1310.409,185.877,-560.974,-2146.021,-496.246,12333.940,0.038,0.927,0.456,-1.678,0.275,0.610,73.333,378.000,1.000
13132.063,8651.551,1396.267,297.039,-432.943,-1964.438,-238.479,13540.256,0.037,0.933,0.458,-1.373,0.183,0.580,73.333,379.000,1.000
13985.707,9299.324,1427.938,353.783,-359.029,-1836.968,-37.478,14019.166,0.031,0.938,0.457,-1.221,0.275,0.458,73.333,380.000,1.000
12127.319,7734.223,1440.491,391.693,-303.806,-1728.235,142.250,13579.968,0.026,0.941,0.461,-1.129,0.275,0.519,73.333,381.000,1.000
10449.241,6419.333,1493.767,470.988,-207.287,-1578.384,360.645,13280.310,0.025,0.942,0.457,-1.099,0.122,0.488,73.333,382.000,1.000
11566.843,7452.943,1587.799,591.346,-69.865,-1387.761,617.289,13961.774,0.027,0.942,0.457,-1.129,0.122,0.305,73.333,383.000,1.000
14223.053,9679.750,1661.341,691.066,46.970,-1217.786,850.762,15085.875,0.029,0.942,0.454,-0.977,0.000,0.183,73.333,384.000,1.000
15025.613,10287.283,1677.412,733.216,106.528,-1105.223,1024.347,15480.819,0.030,0.943,0.453,-0.824,0.031,0.031,73.333,385.000,1.000
13120.415,8680.989,1675.205,757.253,148.264,-1010.849,1177.231,14960.124,0.032,0.949,0.454,-0.824,-0.031,-0.153,73.333,386.000,1.000
11375.832,7307.960,1716.478,824.956,233.756,-873.225,1370.798,14581.289,0.034,0.953,0.458,-0.885,-0.122,-0.275,73.333,387.000,1.000
12432.779,8289.244,1801.902,936.899,363.301,-691.891,1605.564,15193.666,0.037,0.960,0.456,-1.251,0.000,-0.244,73.333,388.000,1.000
15059.034,10493.443,1872.045,1033.613,477.342,-526.152,1822.359,16271.239,0.040,0.965,0.458,-1.465,0.000,-0.275,73.333,389.000,1.000
