EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
352732.638,469615.784,710832.220,710965.431,710759.777,710555.558,689112.698,294401.029,0.007,0.954,0.448,-1.129,-0.641,0.031,73.333,816.000,1.000
352633.650,469528.857,710830.804,710964.117,710758.398,710554.144,688605.488,294337.435,0.010,0.954,0.448,-1.190,-0.854,0.092,73.333,817.000,1.000
352617.952,469527.326,710834.371,710967.528,710762.255,710558.102,687978.818,294318.445,0.012,0.953,0.447,-1.221,-0.732,0.214,73.333,818.000,1.000
352497.719,469408.707,710834.234,710967.287,710762.237,710557.794,687371.423,294236.350,0.013,0.952,0.446,-1.282,-0.641,0.305,73.333,819.000,1.000
352513.695,469434.517,710839.061,710971.692,710766.941,710562.243,687018.374,294229.522,0.012,0.952,0.446,-1.312,-0.610,0.458,73.333,820.000,1.000
352463.547,469385.230,710833.820,710966.689,710762.152,710557.662,686656.538,294171.510,0.014,0.955,0.443,-1.343,-0.549,0.519,73.333,821.000,1.000
352344.317,469279.392,710828.959,710961.514,710757.122,710552.462,686205.129,294084.637,0.013,0.955,0.446,-1.282,-0.427,0.610,73.333,822.000,1.000
352353.076,469298.202,710834.828,710967.284,710762.687,710558.165,685858.531,294072.163,0.014,0.956,0.448,-1.312,-0.488,0.610,73.333,823.000,1.000
352251.796,469191.927,710832.261,710965.030,710760.260,710556.079,685300.256,293993.534,0.012,0.958,0.446,-1.434,-0.366,0.641,73.333,824.000,1.000
352197.769,469159.651,710828.919,710961.554,710756.913,710552.622,684927.380,293946.955,0.013,0.958,0.447,-1.587,-0.336,0.580,73.333,825.000,1.000
352131.314,469097.921,710830.443,710963.174,710758.127,710553.919,684824.976,293877.975,0.015,0.958,0.446,-1.709,-0.305,0.519,73.333,826.000,1.000
352047.610,469018.461,710831.027,710963.748,710758.671,710554.671,684614.510,293808.758,0.015,0.956,0.446,-1.862,-0.122,0.519,73.333,827.000,1.000
352036.473,469015.320,710830.243,710962.786,710757.699,710553.303,684279.761,293764.374,0.011,0.949,0.446,-1.984,-0.183,0.427,73.333,828.000,1.000
351938.732,468914.036,710830.125,710962.940,710757.777,710553.607,684035.128,293671.312,0.009,0.947,0.449,-1.953,-0.092,0.427,73.333,829.000,1.000
351887.821,468884.505,710830.100,710962.357,710757.836,710553.326,684024.045,293621.793,0.010,0.946,0.445,-1.892,-0.122,0.458,73.333,830.000,1.000
351835.146,468828.843,710830.791,710963.482,710758.561,710554.418,684012.961,293556.935,0.010,0.946,0.443,-1.801,-0.061,0.458,73.333,831.000,1.000
351746.943,468749.614,710830.408,710963.292,710758.430,710554.326,683797.986,293482.053,0.011,0.948,0.446,-1.831,-0.092,0.458,73.333,832.000,1.000
351738.534,468756.288,710831.419,710964.039,710759.445,710555.028,683493.311,293448.749,0.012,0.947,0.447,-1.740,-0.153,0.427,73.333,833.000,1.000
351625.926,468646.256,710830.965,710963.322,710758.994,710554.439,683249.944,293361.490,0.010,0.944,0.447,-1.678,-0.244,0.427,73.333,834.000,1.000
351606.604,468642.331,710831.323,710963.951,710759.094,710554.460,683217.658,293327.724,0.011,0.941,0.446,-1.556,-0.336,0.427,73.333,835.000,1.000
351561.844,468593.915,710829.712,710962.537,710757.700,710552.874,683169.250,293263.590,0.011,0.943,0.445,-1.373,-0.366,0.336,73.333,836.000,1.000
