EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-60360.270,-56436.216,-31967.155,-48465.729,-57661.769,-78769.872,-66007.273,-61125.338,0.032,0.907,0.541,-2.106,-0.580,0.488,73.333,105.000,1.000
-51836.897,-48044.345,-25968.451,-42272.207,-51357.559,-72231.519,-59621.251,-55664.656,0.032,0.910,0.541,-2.014,-0.641,0.397,73.333,106.000,1.000
-41356.638,-38162.694,-20029.371,-36127.034,-45095.638,-65720.618,-53271.666,-49521.065,0.037,0.914,0.542,-1.892,-0.641,0.305,73.333,107.000,1.000
-33039.534,-30139.041,-14204.053,-30084.891,-38930.502,-59292.704,-47013.481,-44091.528,0.040,0.917,0.543,-1.892,-0.519,0.244,73.333,108.000,1.000
-28075.072,-24841.926,-8467.477,-24121.369,-32838.210,-52924.449,-40822.058,-39661.325,0.043,0.917,0.541,-1.923,-0.427,0.275,73.333,109.000,1.000
-23118.628,-19491.608,-2758.725,-18175.932,-26759.011,-46556.440,-34637.442,-35049.979,0.043,0.917,0.546,-1.923,-0.153,0.336,73.333,110.000,1.000
-14922.685,-11507.030,2928.905,-12242.209,-20686.912,-40183.313,-28454.359,-29245.281,0.043,0.916,0.545,-1.923,-0.183,0.397,73.333,111.000,1.000
-4797.396,-2052.560,8533.324,-6382.871,-14684.539,-33868.508,-22336.015,-22794.636,0.043,0.911,0.546,-1.831,0.061,0.458,73.333,112.000,1.000
3189.110,5559.205,14000.291,-652.677,-8806.742,-27667.459,-16337.333,-17069.948,0.042,0.910,0.545,-1.740,0.183,0.458,73.333,113.000,1.000
7796.902,10416.155,19348.942,4967.173,-3035.101,-21562.160,-10440.135,-12402.396,0.040,0.906,0.543,-1.587,0.519,0.458,73.333,114.000,1.000
12312.182,15253.485,24640.303,10537.067,2690.515,-15493.089,-4584.723,-7641.215,0.038,0.909,0.543,-1.526,0.458,0.458,73.333,115.000,1.000
20008.775,22675.673,29887.349,16069.257,8382.250,-9448.854,1240.852,-1753.312,0.034,0.912,0.544,-1.434,0.549,0.427,73.333,116.000,1.000
29612.575,31547.266,35028.443,21501.994,13978.024,-3492.083,6974.436,4729.756,0.031,0.914,0.547,-1.282,0.458,0.305,73.333,117.000,1.000
37035.567,38541.999,40006.714,26778.389,19420.549,2319.616,12558.533,10426.509,0.031,0.915,0.544,-1.190,0.305,0.122,73.333,118.000,1.000
41028.268,42743.358,44847.599,31923.098,24734.360,8010.262,18017.365,15012.877,0.030,0.913,0.544,-1.190,0.336,-0.153,73.333,119.000,1.000
44917.638,46917.921,49621.638,37005.738,29988.926,13648.542,23420.087,19668.659,0.030,0.912,0.546,-1.251,0.244,-0.122,73.333,120.000,1.000
51996.183,53681.628,54339.854,42037.144,35194.700,19244.337,28776.925,25429.935,0.032,0.910,0.546,-1.373,0.092,-0.305,73.333,121.000,1.000
60957.742,61872.761,58931.921,46947.097,40281.208,24726.811,34017.306,31738.227,0.032,0.909,0.547,-1.495,-0.031,-0.366,73.333,122.000,1.000
67705.020,68159.816,63342.198,51679.507,45192.376,30039.363,39085.006,37208.168,0.032,0.909,0.543,-1.495,-0.092,-0.580,73.333,123.000,1.000
71012.055,71646.387,67604.406,56267.340,49961.021,35214.245,44012.582,41535.920,0.033,0.912,0.546,-1.343,0.031,-0.732,73.333,124.000,1.000
74188.878,75084.399,71789.069,60780.737,54656.732,40320.718,48869.435,45895.148,0.033,0.914,0.546,-1.251,-0.031,-0.732,73.333,125.000,1.000
80494.616,81063.092,75903.280,65226.684,59286.081,45365.041,53661.884,51304.722,0.036,0.919,0.544,-1.343,-0.092,-0.824,73.333,126.000,1.000
88659.241,88450.522,79880.943,69538.748,63782.842,50280.421,58323.257,57226.650,0.039,0.921,0.542,-1.373,-0.092,-0.824,73.333,127.000,1.000
94642.266,93957.833,83671.025,73665.335,68095.705,55014.897,62802.025,62302.207,0.039,0.920,0.543,-1.526,-0.122,-0.702,73.333,128.000,1.000
97194.239,96668.241,87304.317,77636.777,72254.693,59598.018,67128.313,66214.798,0.037,0.921,0.540,-1.678,-0.092,-0.671,73.333,129.000,1.000
99571.931,99295.903,90850.617,81522.552,76328.749,64098.300,71371.000,70121.843,0.037,0.918,0.540,-1.709,0.000,-0.641,73.333,130.000,1.000
105053.358,104448.406,94322.785,85335.322,80330.223,68527.592,75542.135,75058.883,0.036,0.917,0.543,-1.678,0.122,-0.580,73.333,131.000,1.000
112418.566,111032.437,97658.051,89012.270,84195.991,72822.468,79578.342,80504.902,0.033,0.916,0.543,-1.587,0.122,-0.519,73.333,132.000,1.000
117619.302,115754.224,100804.115,92500.786,87873.376,76930.096,83426.698,85092.518,0.031,0.916,0.542,-1.648,0.061,-0.427,73.333,133.000,1.000
119363.477,117663.120,103789.511,95828.644,91390.553,80878.280,87115.099,88488.422,0.031,0.917,0.541,-1.587,0.061,-0.366,73.333,134.000,1.000
120895.542,119456.264,106680.070,99061.225,94812.809,84731.848,90708.865,91839.145,0.031,0.918,0.544,-1.648,-0.153,-0.275,73.333,135.000,1.000
125515.001,123755.532,109487.412,102210.326,98151.032,88501.278,94219.118,96185.498,0.030,0.917,0.544,-1.587,-0.275,-0.214,73.333,136.000,1.000
132023.197,129492.246,112155.335,105219.776,101348.637,92129.493,97589.060,101029.610,0.029,0.917,0.539,-1.617,-0.336,-0.122,73.333,137.000,1.000
136372.131,133376.433,114637.491,108042.631,104359.188,95569.716,100771.666,105014.454,0.028,0.917,0.542,-1.648,-0.519,-0.031,73.333,138.000,1.000
137262.935,134447.362,116962.075,110706.535,107210.529,98849.604,103794.488,107796.618,0.026,0.916,0.542,-1.709,-0.641,0.092,73.333,139.000,1.000
137945.869,135406.355,119195.826,113278.126,109968.783,102034.923,106723.806,110523.588,0.028,0.917,0.544,-1.709,-0.824,0.092,73.333,140.000,1.000
141723.815,138882.295,121352.541,115770.946,112647.119,105138.470,109572.883,114244.024,0.027,0.917,0.544,-1.801,-0.946,0.122,73.333,141.000,1.000
147394.505,143802.387,123372.305,118124.611,115185.235,108099.753,112281.069,118452.609,0.030,0.919,0.546,-1.831,-1.129,0.183,73.333,142.000,1.000
150921.242,146879.742,125204.148,120288.188,117532.239,110867.600,114797.037,121787.802,0.031,0.919,0.549,-1.953,-1.221,0.244,73.333,143.000,1.000
151004.421,147152.928,126878.125,122292.058,119718.210,113471.689,117150.913,123912.529,0.034,0.917,0.548,-1.923,-1.465,0.153,73.333,144.000,1.000
150853.331,147297.274,128464.184,124205.802,121812.373,115980.959,119412.199,125968.632,0.031,0.914,0.547,-1.923,-1.556,0.183,73.333,145.000,1.000
153756.158,149931.613,129975.640,126041.852,123827.195,118407.553,121593.204,128996.530,0.033,0.911,0.548,-1.862,-1.495,0.183,73.333,146.000,1.000
158563.574,154019.737,131353.134,127740.548,125703.247,120691.623,123634.008,132505.374,0.036,0.906,0.546,-1.709,-1.495,0.183,73.333,147.000,1.000
161274.092,156302.861,132549.686,129255.195,127393.727,122786.296,125487.528,135151.632,0.038,0.904,0.541,-1.587,-1.434,0.214,73.333,148.000,1.000
